batch,case,q,phase,completed_calls,started_calls,generate_s,evaluate_s,wall_s,historical_reuses,peak_mib,status
FINAL_accelerated,case_020,3,search_1,4,4,1.4673811999991813,3.618609099999958,5.726554899999428,6,111.6015625,complete
FINAL_accelerated,case_021,1,baseline_1,1,1,0,3.8016878000007637,4.093918499999745,0,107.75390625,complete
FINAL_accelerated,case_021,1,search_1,8,8,0.5910361999995075,16.68913370000155,17.796160599999894,6,92.7734375,complete
FINAL_accelerated,case_021,2,baseline_1,1,1,0,1.1516409000005297,1.4893621999999596,0,107.02734375,complete
FINAL_accelerated,case_021,2,search_1,16,16,3.2025465999995504,25.112599500000215,28.942306799999642,6,145.5390625,complete
FINAL_accelerated,case_021,3,baseline_1,1,1,0,1.2324535999996442,1.5092961999998806,0,107.22265625,complete
FINAL_accelerated,case_021,3,search_1,28,28,5.282413399999314,48.77419319999717,54.93424429999959,6,161.6953125,complete
FINAL_accelerated,case_022,1,baseline_1,1,1,0,0.3361615999992864,0.6106927000000724,0,46.23828125,complete
FINAL_accelerated,case_022,1,search_1,16,16,0.216495900001064,4.149476199999299,4.764745499999663,6,43.265625,complete
FINAL_accelerated,case_022,2,baseline_1,1,1,0,0.1668937000004007,0.43415750000076514,0,46.01953125,complete
FINAL_accelerated,case_022,2,search_1,16,16,0.18181449999883625,3.1416199000013876,3.7106086000003415,6,48.63671875,complete
FINAL_accelerated,case_022,3,baseline_1,1,1,0,0.2054889999999432,0.46547170000030746,0,45.96875,complete
FINAL_accelerated,case_022,3,search_1,28,28,0.30422359999920445,6.130218000002969,6.885348100000556,6,51.3046875,complete
FINAL_accelerated,case_023,1,baseline_1,1,1,0,0.2585906000003888,0.5349507000000813,0,40.30859375,complete
FINAL_accelerated,case_023,1,search_1,16,16,0.18754810000154976,3.145333000001301,3.7526034000002255,6,38.765625,complete
FINAL_accelerated,case_023,2,baseline_1,1,1,0,0.12249619999965944,0.3476266999996369,0,39.93359375,complete
FINAL_accelerated,case_023,2,search_1,16,16,0.14647290000084467,2.5510015999989264,3.138356599999497,6,42.34765625,complete
FINAL_accelerated,case_023,3,baseline_1,1,1,0,0.13611579999997048,0.36479529999996885,0,40.12109375,complete
FINAL_accelerated,case_023,3,search_1,28,28,0.22074890000021696,4.447958700001436,5.108578899999884,6,43.40625,complete
FINAL_accelerated,case_024,1,baseline_1,1,1,0,4.520049499999914,4.8645722000001115,0,112.43359375,complete
FINAL_accelerated,case_024,1,search_1,16,16,2.552776599999561,112.12825210000301,115.39540299999953,6,144.01171875,complete
FINAL_accelerated,case_024,2,baseline_1,1,1,0,1.346422900000107,1.666129700000056,0,112.03125,complete
FINAL_accelerated,case_024,2,search_1,16,16,2.1346539999995002,23.165357799999583,26.10290139999961,6,134.15625,complete
FINAL_accelerated,case_024,3,baseline_1,1,1,0,1.2935339000005115,1.5945757999998023,0,112.359375,complete
FINAL_accelerated,case_024,3,search_1,25,25,3.5929920999997194,35.050623400001314,39.50521189999927,6,146.34765625,complete
FINAL_accelerated,case_025,1,baseline_1,1,1,0,181.47000050000042,182.1896431999994,0,398.11328125,complete
FINAL_accelerated,case_025,1,search_1,12,12,2.5576900000014575,576.0612190999964,579.8453522,6,332.578125,complete
FINAL_accelerated,case_025,2,baseline_1,0,0,0,0,1.0256569000002855,1,158.25390625,complete
FINAL_accelerated,case_025,2,search_1,3,3,6.940840599994772,15.38942809999935,23.43027400000028,8,322.8828125,complete
FINAL_accelerated,case_025,3,baseline_1,1,1,0,11.691225399999894,12.401703499999712,0,397.33203125,complete
FINAL_accelerated,case_025,3,search_1,4,4,9.695580499999778,22.433316300001025,33.19641149999916,6,340.69921875,complete
FINAL_accelerated,case_026,1,baseline_1,1,1,0,0.12785230000008596,0.40356790000078036,0,33.734375,complete
FINAL_accelerated,case_026,1,search_1,16,16,0.15644909999991796,2.1204791999998633,2.6290636999992785,6,34.28125,complete
FINAL_accelerated,case_026,2,baseline_1,1,1,0,0.07845159999942553,0.32031320000078267,0,33.68359375,complete
FINAL_accelerated,case_026,2,search_1,16,16,0.15145440000196686,1.7858652999993865,2.3124270000007527,6,35.58203125,complete
FINAL_accelerated,case_026,3,baseline_1,1,1,0,0.07689879999998084,0.30289109999921493,0,33.71484375,complete
FINAL_accelerated,case_026,3,search_1,28,28,0.202994100001888,3.059384099999079,3.667074500000126,6,37.08984375,complete
FINAL_accelerated,case_027,1,baseline_1,1,1,0,0.6759944000004907,1.022903299999598,0,54.09375,complete
FINAL_accelerated,case_027,1,search_1,8,8,0.19198499999856722,2.852605400000357,3.398395999999593,6,51.59375,complete
FINAL_accelerated,case_027,2,baseline_1,1,1,0,0.20375420000073063,0.4182961999995314,0,53.7734375,complete
FINAL_accelerated,case_027,2,search_1,11,11,0.4545886999967479,3.145788400001038,3.9601902000003975,6,71.953125,complete
FINAL_accelerated,case_027,3,baseline_1,1,1,0,0.3402643999997963,0.6064735999998447,0,53.6328125,complete
FINAL_accelerated,case_027,3,search_1,20,20,0.564942300000439,5.837748799999645,6.7911965000002965,6,73.6640625,complete
FINAL_accelerated,case_028,1,baseline_1,1,1,0,268.6978439000004,269.49295099999927,0,413.99609375,complete
FINAL_accelerated,case_028,1,search_1,8,8,1.6192259999988892,191.2425645999956,193.92475120000017,6,340.6796875,complete
FINAL_accelerated,case_028,2,baseline_1,1,1,0,13.95407299999988,14.6482132000001,0,412.8203125,complete
FINAL_accelerated,case_028,2,search_1,16,16,15.279445800000758,132.80301850000433,149.54142769999999,6,666.984375,complete
FINAL_accelerated,case_028,3,baseline_1,1,1,0,13.68674319999991,14.308368100000735,0,412.51953125,complete
FINAL_accelerated,case_028,3,search_1,28,28,23.276191699995252,239.33543819999795,264.59531380000044,6,699.28125,complete
FINAL_accelerated,case_029,1,baseline_1,1,1,0,0.22921390000010433,0.4642431000002034,0,40.109375,complete
FINAL_accelerated,case_029,1,search_1,11,11,0.14495760000136215,1.631930799998372,2.1518950999998196,6,37.83203125,complete
FINAL_accelerated,case_029,2,baseline_1,1,1,0,0.19407300000057148,0.439948799999911,0,39.8125,complete
FINAL_accelerated,case_029,2,search_1,4,4,0.1618047999972987,0.5057163999990735,0.994175499999983,6,37.58984375,complete
FINAL_accelerated,case_029,3,baseline_1,1,1,0,0.19702409999990778,0.4389014999997016,0,40.0546875,complete
FINAL_accelerated,case_029,3,search_1,4,4,0.20529269999860844,0.5591201000006549,1.0839101000001392,6,37.5,complete
FINAL_accelerated,case_030,1,baseline_1,1,1,0,23.01783030000024,23.359594800000195,0,203.65234375,complete
FINAL_accelerated,case_030,1,search_1,12,12,1.5724818999997296,147.6451180999984,150.25923059999968,6,183.484375,complete
FINAL_accelerated,case_030,2,baseline_1,1,1,0,2.9144734999999855,3.2879971000002115,0,203.515625,complete
FINAL_accelerated,case_030,2,search_1,16,16,11.154625799999849,72.4137326,84.65797479999947,6,302.44921875,complete
FINAL_accelerated,case_030,3,baseline_1,1,1,0,3.094962099999975,3.488376199999948,0,203.3515625,complete
FINAL_accelerated,case_030,3,search_1,28,28,17.09097120000024,133.83982849999938,152.3019145999997,6,340.93359375,complete
FINAL_accelerated,case_031,1,baseline_1,1,1,0,6.772068500000387,7.104737300000124,0,138.671875,complete
FINAL_accelerated,case_031,1,search_1,12,12,0.9074372999994011,53.12991030000194,54.701076000000285,6,121.546875,complete
FINAL_accelerated,case_031,2,baseline_1,1,1,0,1.249742399999377,1.6524939999999333,0,138.265625,complete
