q,k,comparison,group_type,group,cases,mean_ratio,median_ratio,min_ratio,worst_case,faster,equal,slower
3,1,L2同方案,计算节点规模,第4四分位，7360—35705,25,1.00588152011112,1.0,1.0,case_003,9,16,0
3,1,L2同方案,计算关键路径,第1四分位，400—2484,25,1.0007242089656005,1.0,1.0,case_001,4,21,0
3,1,L2同方案,计算关键路径,第2四分位，2506—5980,25,1.0006402069631954,1.0,1.0,case_002,8,17,0
3,1,L2同方案,计算关键路径,第3四分位，6300—23904,25,1.0174066819764316,1.0,1.0,case_005,5,20,0
3,1,L2同方案,计算关键路径,第4四分位，27474—863040,25,1.0157157647600554,1.0,1.0,case_003,8,17,0
3,1,L2同方案,弱连通分量,单分量,16,1.0,1.0,1.0,case_002,0,16,0
3,1,L2同方案,弱连通分量,多分量,84,1.0102639472218105,1.0,1.0,case_001,25,59,0
3,2,L2同方案,计算节点规模,第1四分位，552—1098,25,1.0029421100527656,1.0,1.0,case_001,9,16,0
3,2,L2同方案,计算节点规模,第2四分位，1115—3696,25,1.004454899441284,1.000022024733776,1.0,case_002,13,12,0
3,2,L2同方案,计算节点规模,第3四分位，3745—7008,25,1.0136083144224595,1.0004181545786643,1.0,case_007,17,8,0
3,2,L2同方案,计算节点规模,第4四分位，7360—35705,25,1.0041568269951635,1.0008157487493852,1.0,case_016,18,7,0
3,2,L2同方案,计算关键路径,第1四分位，400—2484,25,1.0015336570699374,1.0,1.0,case_001,8,17,0
3,2,L2同方案,计算关键路径,第2四分位，2506—5980,25,1.0018453143843775,1.0,1.0,case_002,11,14,0
3,2,L2同方案,计算关键路径,第3四分位，6300—23904,25,1.0046924833630009,1.0005575544508225,1.0,case_009,17,8,0
3,2,L2同方案,计算关键路径,第4四分位，27474—863040,25,1.0170906960943569,1.0018064860704214,1.0,case_016,21,4,0
3,2,L2同方案,弱连通分量,单分量,16,1.003248765762563,1.000576883801846,1.0,case_002,10,6,0
3,2,L2同方案,弱连通分量,多分量,84,1.0068699228641762,1.0002402557403407,1.0,case_001,47,37,0
3,3,L2同方案,计算节点规模,第1四分位，552—1098,25,1.0104757955111396,1.00010650005325,1.0,case_001,14,11,0
3,3,L2同方案,计算节点规模,第2四分位，1115—3696,25,1.0151807064247058,1.0003741794586272,1.0,case_002,15,10,0
3,3,L2同方案,计算节点规模,第3四分位，3745—7008,25,1.0243742023232918,1.0048403852441714,1.0,case_007,20,5,0
3,3,L2同方案,计算节点规模,第4四分位，7360—35705,25,1.012561474659187,1.001329570751544,0.99966061177687,case_072,18,6,1
3,3,L2同方案,计算关键路径,第1四分位，400—2484,25,1.0054253364140677,1.0,1.0,case_001,10,15,0
3,3,L2同方案,计算关键路径,第2四分位，2506—5980,25,1.003289982539426,1.0003741794586272,1.0,case_002,15,10,0
3,3,L2同方案,计算关键路径,第3四分位，6300—23904,25,1.0167799417464296,1.0082194282930987,1.0,case_019,21,4,0
3,3,L2同方案,计算关键路径,第4四分位，27474—863040,25,1.037096918218401,1.021127245425545,0.99966061177687,case_072,21,3,1
3,3,L2同方案,弱连通分量,单分量,16,1.0088787488509294,1.001137348996412,1.0,case_002,10,6,0
3,3,L2同方案,弱连通分量,多分量,84,1.016937434420753,1.0011320413535614,0.99966061177687,case_072,57,26,1
3,4,L2同方案,计算节点规模,第1四分位，552—1098,25,1.022384945597374,1.0,1.0,case_001,12,13,0
3,4,L2同方案,计算节点规模,第2四分位，1115—3696,25,1.0184367653454105,1.0000645244547683,1.0,case_002,13,12,0
3,4,L2同方案,计算节点规模,第3四分位，3745—7008,25,1.0386238456750576,1.0046015326364608,1.0,case_007,18,7,0
3,4,L2同方案,计算节点规模,第4四分位，7360—35705,25,1.0281907928262963,1.0050373222160034,1.0,case_016,19,6,0
3,4,L2同方案,计算关键路径,第1四分位，400—2484,25,1.0163210451813403,1.0,1.0,case_001,9,16,0
3,4,L2同方案,计算关键路径,第2四分位，2506—5980,25,1.0092796571657447,1.0008892841262784,1.0,case_002,13,12,0
3,4,L2同方案,计算关键路径,第3四分位，6300—23904,25,1.028726308911735,1.0090128843278232,1.0,case_019,20,5,0
3,4,L2同方案,计算关键路径,第4四分位，27474—863040,25,1.0533093381853185,1.0188841925267633,1.0,case_016,20,5,0
3,4,L2同方案,弱连通分量,单分量,16,1.0261177653670217,1.0032113680412744,1.0,case_002,10,6,0
3,4,L2同方案,弱连通分量,多分量,84,1.0270598153598942,1.0017556924733766,1.0,case_001,52,32,0
3,5,L2同方案,计算节点规模,第1四分位，552—1098,25,1.0392688922516227,1.0257775697106242,1.0,case_001,16,9,0
3,5,L2同方案,计算节点规模,第2四分位，1115—3696,25,1.03352764670665,1.0013854138665454,1.0,case_002,16,9,0
3,5,L2同方案,计算节点规模,第3四分位，3745—7008,25,1.0579962002913137,1.0115501815549865,1.0,case_007,20,5,0
3,5,L2同方案,计算节点规模,第4四分位，7360—35705,25,1.0351330252940143,1.008088558136992,1.0,case_016,19,6,0
3,5,L2同方案,计算关键路径,第1四分位，400—2484,25,1.0193659740565553,1.0,1.0,case_001,10,15,0
3,5,L2同方案,计算关键路径,第2四分位，2506—5980,25,1.0189854370869973,1.0009326424870466,1.0,case_002,17,8,0
3,5,L2同方案,计算关键路径,第3四分位，6300—23904,25,1.0506927811544513,1.035621761658031,1.0,case_027,22,3,0
3,5,L2同方案,计算关键路径,第4四分位，27474—863040,25,1.0768815722455967,1.0494806681879827,1.0,case_016,22,3,0
3,5,L2同方案,弱连通分量,单分量,16,1.0283365790855623,1.0060511591866428,1.0,case_002,10,6,0
3,5,L2同方案,弱连通分量,多分量,84,1.0439852243835837,1.0077994755544948,1.0,case_001,61,23,0
